season,round,date_header,status,kickoff_local,home_team,away_team,home_score,away_score,venue,match_href
2026,1,2026-03-01,Full Time,2026-03-01,Knights,Cowboys,28,18,Allegiant Stadium,https://www.nrl.com/draw/nrl-premiership/2026/round-1/knights-v-cowboys/
2026,1,2026-03-01,Full Time,2026-03-01,Bulldogs,Dragons,15,14,Allegiant Stadium,https://www.nrl.com/draw/nrl-premiership/2026/round-1/bulldogs-v-dragons/
2026,1,2026-03-05,Full Time,2026-03-05,Storm,Eels,52,4,AAMI Park,https://www.nrl.com/draw/nrl-premiership/2026/round-1/storm-v-eels/
2026,1,2026-03-06,Full Time,2026-03-06,Warriors,Roosters,42,18,Go Media Stadium,https://www.nrl.com/draw/nrl-premiership/2026/round-1/warriors-v-roosters/
2026,1,2026-03-06,Full Time,2026-03-06,Broncos,Panthers,0,26,Suncorp Stadium,https://www.nrl.com/draw/nrl-premiership/2026/round-1/broncos-v-panthers/
2026,1,2026-03-07,Full Time,2026-03-07,Sharks,Titans,50,10,Ocean Protect Stadium,https://www.nrl.com/draw/nrl-premiership/2026/round-1/sharks-v-titans/
2026,1,2026-03-07,Full Time,2026-03-07,Sea Eagles,Raiders,28,29,4 Pines Park,https://www.nrl.com/draw/nrl-premiership/2026/round-1/sea-eagles-v-raiders/
2026,1,2026-03-08,Full Time,2026-03-08,Dolphins,Rabbitohs,30,40,Suncorp Stadium,https://www.nrl.com/draw/nrl-premiership/2026/round-1/dolphins-v-rabbitohs/
2026,2,2026-03-12,Full Time,2026-03-12,Broncos,Eels,32,40,Suncorp Stadium,https://www.nrl.com/draw/nrl-premiership/2026/round-2/broncos-v-eels/
2026,2,2026-03-13,Full Time,2026-03-13,Warriors,Raiders,40,6,Go Media Stadium,https://www.nrl.com/draw/nrl-premiership/2026/round-2/warriors-v-raiders/
2026,2,2026-03-13,Full Time,2026-03-13,Roosters,Rabbitohs,26,18,Allianz Stadium,https://www.nrl.com/draw/nrl-premiership/2026/round-2/roosters-v-rabbitohs/
2026,2,2026-03-14,Full Time,2026-03-14,Wests Tigers,Cowboys,44,16,Leichhardt Oval,https://www.nrl.com/draw/nrl-premiership/2026/round-2/wests-tigers-v-cowboys/
2026,2,2026-03-14,Full Time,2026-03-14,Dragons,Storm,20,46,WIN Stadium,https://www.nrl.com/draw/nrl-premiership/2026/round-2/dragons-v-storm/
2026,2,2026-03-14,Full Time,2026-03-14,Panthers,Sharks,26,6,Carrington Park,https://www.nrl.com/draw/nrl-premiership/2026/round-2/panthers-v-sharks/
2026,2,2026-03-15,Full Time,2026-03-15,Sea Eagles,Knights,16,36,4 Pines Park,https://www.nrl.com/draw/nrl-premiership/2026/round-2/sea-eagles-v-knights/
2026,2,2026-03-15,Full Time,2026-03-15,Dolphins,Titans,18,14,Suncorp Stadium,https://www.nrl.com/draw/nrl-premiership/2026/round-2/dolphins-v-titans/
2026,3,2026-03-19,Full Time,2026-03-19,Raiders,Bulldogs,10,14,GIO Stadium,https://www.nrl.com/draw/nrl-premiership/2026/round-3/raiders-v-bulldogs/
2026,3,2026-03-20,Full Time,2026-03-20,Roosters,Panthers,4,40,Allianz Stadium,https://www.nrl.com/draw/nrl-premiership/2026/round-3/roosters-v-panthers/
2026,3,2026-03-20,Full Time,2026-03-20,Storm,Broncos,14,18,AAMI Park,https://www.nrl.com/draw/nrl-premiership/2026/round-3/storm-v-broncos/
2026,3,2026-03-21,Full Time,2026-03-21,Knights,Warriors,12,38,McDonald Jones Stadium,https://www.nrl.com/draw/nrl-premiership/2026/round-3/knights-v-warriors/
2026,3,2026-03-21,Full Time,2026-03-21,Sharks,Dolphins,10,38,Ocean Protect Stadium,https://www.nrl.com/draw/nrl-premiership/2026/round-3/sharks-v-dolphins/
2026,3,2026-03-21,Full Time,2026-03-21,Rabbitohs,Wests Tigers,20,16,Polytec Stadium,https://www.nrl.com/draw/nrl-premiership/2026/round-3/rabbitohs-v-wests-tigers/
2026,3,2026-03-22,Full Time,2026-03-22,Eels,Dragons,30,20,CommBank Stadium,https://www.nrl.com/draw/nrl-premiership/2026/round-3/eels-v-dragons/
2026,3,2026-03-22,Full Time,2026-03-22,Cowboys,Titans,30,16,Queensland Country Bank Stadium,https://www.nrl.com/draw/nrl-premiership/2026/round-3/cowboys-v-titans/
2026,4,2026-03-26,Full Time,2026-03-26,Sea Eagles,Roosters,16,33,4 Pines Park,https://www.nrl.com/draw/nrl-premiership/2026/round-4/sea-eagles-v-roosters/
2026,4,2026-03-27,Full Time,2026-03-27,Warriors,Wests Tigers,14,32,Go Media Stadium,https://www.nrl.com/draw/nrl-premiership/2026/round-4/warriors-v-wests-tigers/
2026,4,2026-03-27,Full Time,2026-03-27,Broncos,Dolphins,26,12,Suncorp Stadium,https://www.nrl.com/draw/nrl-premiership/2026/round-4/broncos-v-dolphins/
2026,4,2026-03-28,Full Time,2026-03-28,Bulldogs,Knights,16,24,Accor Stadium,https://www.nrl.com/draw/nrl-premiership/2026/round-4/bulldogs-v-knights/
2026,4,2026-03-28,Full Time,2026-03-28,Panthers,Eels,48,20,CommBank Stadium,https://www.nrl.com/draw/nrl-premiership/2026/round-4/panthers-v-eels/
2026,4,2026-03-28,Full Time,2026-03-28,Cowboys,Storm,28,24,Queensland Country Bank Stadium,https://www.nrl.com/draw/nrl-premiership/2026/round-4/cowboys-v-storm/
2026,4,2026-03-29,Full Time,2026-03-29,Raiders,Sharks,22,34,GIO Stadium,https://www.nrl.com/draw/nrl-premiership/2026/round-4/raiders-v-sharks/
2026,4,2026-03-29,Full Time,2026-03-29,Titans,Dragons,22,14,Cbus Super Stadium,https://www.nrl.com/draw/nrl-premiership/2026/round-4/titans-v-dragons/
