season,round,date_header,status,kickoff_local,home_team,away_team,home_score,away_score,venue,match_href
2025,1,SUNDAY 2ND MARCH,FULL TIME,,Raiders,Warriors,30,8,"Allegiant Stadium, Las Vegas",https://www.nrl.com/draw/nrl-premiership/2025/round-1/raiders-v-warriors/
2025,1,SUNDAY 2ND MARCH,FULL TIME,,Panthers,Sharks,28,22,"Allegiant Stadium, Las Vegas",https://www.nrl.com/draw/nrl-premiership/2025/round-1/panthers-v-sharks/
2025,1,THURSDAY 6TH MARCH,FULL TIME,,Roosters,Broncos,14,50,"Allianz Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2025/round-1/roosters-v-broncos/
2025,1,FRIDAY 7TH MARCH,FULL TIME,,Wests Tigers,Knights,8,10,"Campbelltown Sports Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2025/round-1/wests-tigers-v-knights/
2025,1,FRIDAY 7TH MARCH,FULL TIME,,Rabbitohs,Dolphins,16,14,"CommBank Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2025/round-1/dolphins-v-rabbitohs/
2025,1,SATURDAY 8TH MARCH,FULL TIME,,Dragons,Bulldogs,20,28,"Netstrata Jubilee Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2025/round-1/dragons-v-bulldogs/
2025,1,SATURDAY 8TH MARCH,FULL TIME,,Sea Eagles,Cowboys,42,12,"4 Pines Park, Sydney",https://www.nrl.com/draw/nrl-premiership/2025/round-1/sea-eagles-v-cowboys/
2025,1,SUNDAY 9TH MARCH,FULL TIME,,Storm,Eels,56,18,"AAMI Park, Melbourne",https://www.nrl.com/draw/nrl-premiership/2025/round-1/storm-v-eels/
2025,2,THURSDAY 13TH MARCH,FULL TIME,,Knights,Dolphins,26,12,"McDonald Jones Stadium, Newcastle",https://www.nrl.com/draw/nrl-premiership/2025/round-2/knights-v-dolphins/
2025,2,FRIDAY 14TH MARCH,FULL TIME,,Warriors,Sea Eagles,36,16,"Go Media Stadium, Auckland",https://www.nrl.com/draw/nrl-premiership/2025/round-2/warriors-v-sea-eagles/
2025,2,FRIDAY 14TH MARCH,FULL TIME,,Panthers,Roosters,32,38,"CommBank Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2025/round-2/panthers-v-roosters/
2025,2,SATURDAY 15TH MARCH,FULL TIME,,Dragons,Rabbitohs,24,25,"WIN Stadium, Wollongong",https://www.nrl.com/draw/nrl-premiership/2025/round-2/dragons-v-rabbitohs/
2025,2,SATURDAY 15TH MARCH,FULL TIME,,Cowboys,Sharks,12,36,"Queensland Country Bank Stadium, Townsville",https://www.nrl.com/draw/nrl-premiership/2025/round-2/cowboys-v-sharks/
2025,2,SATURDAY 15TH MARCH,FULL TIME,,Raiders,Broncos,32,22,"GIO Stadium, Canberra",https://www.nrl.com/draw/nrl-premiership/2025/round-2/raiders-v-broncos/
2025,2,SUNDAY 16TH MARCH,FULL TIME,,Eels,Wests Tigers,6,32,"CommBank Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2025/round-2/eels-v-wests-tigers/
2025,2,SUNDAY 16TH MARCH,FULL TIME,,Bulldogs,Titans,40,24,"Belmore Sports Ground, Sydney",https://www.nrl.com/draw/nrl-premiership/2025/round-2/bulldogs-v-titans/
2025,3,THURSDAY 20TH MARCH,FULL TIME,,Storm,Panthers,30,24,"AAMI Park, Melbourne",https://www.nrl.com/draw/nrl-premiership/2025/round-3/storm-v-panthers/
2025,3,FRIDAY 21ST MARCH,FULL TIME,,Warriors,Roosters,14,6,"Go Media Stadium, Auckland",https://www.nrl.com/draw/nrl-premiership/2025/round-3/warriors-v-roosters/
2025,3,FRIDAY 21ST MARCH,FULL TIME,,Broncos,Cowboys,26,16,"Suncorp Stadium, Brisbane",https://www.nrl.com/draw/nrl-premiership/2025/round-3/broncos-v-cowboys/
2025,3,SATURDAY 22ND MARCH,FULL TIME,,Sharks,Rabbitohs,27,12,"Sharks Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2025/round-3/sharks-v-rabbitohs/
2025,3,SATURDAY 22ND MARCH,FULL TIME,,Dolphins,Wests Tigers,18,30,"Kayo Stadium, Redcliffe",https://www.nrl.com/draw/nrl-premiership/2025/round-3/dolphins-v-wests-tigers/
2025,3,SATURDAY 22ND MARCH,FULL TIME,,Titans,Knights,26,6,"Cbus Super Stadium, Gold Coast",https://www.nrl.com/draw/nrl-premiership/2025/round-3/titans-v-knights/
2025,3,SUNDAY 23RD MARCH,FULL TIME,,Eels,Bulldogs,8,16,"CommBank Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2025/round-3/eels-v-bulldogs/
2025,3,SUNDAY 23RD MARCH,FULL TIME,,Sea Eagles,Raiders,40,12,"4 Pines Park, Sydney",https://www.nrl.com/draw/nrl-premiership/2025/round-3/sea-eagles-v-raiders/
2025,4,THURSDAY 27TH MARCH,FULL TIME,,Rabbitohs,Panthers,28,18,"Accor Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2025/round-4/rabbitohs-v-panthers/
2025,4,FRIDAY 28TH MARCH,FULL TIME,,Roosters,Titans,12,30,"Allianz Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2025/round-4/roosters-v-titans/
2025,4,FRIDAY 28TH MARCH,FULL TIME,,Dolphins,Broncos,12,20,"Suncorp Stadium, Brisbane",https://www.nrl.com/draw/nrl-premiership/2025/round-4/dolphins-v-broncos/
2025,4,SATURDAY 29TH MARCH,FULL TIME,,Dragons,Storm,14,8,"Jubilee Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2025/round-4/dragons-v-storm/
2025,4,SATURDAY 29TH MARCH,FULL TIME,,Cowboys,Raiders,30,20,"Queensland Country Bank Stadium, Townsville",https://www.nrl.com/draw/nrl-premiership/2025/round-4/cowboys-v-raiders/
2025,4,SATURDAY 29TH MARCH,FULL TIME,,Sharks,Bulldogs,6,20,"Sharks Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2025/round-4/sharks-v-bulldogs/
2025,4,SUNDAY 30TH MARCH,FULL TIME,,Sea Eagles,Eels,26,12,"4 Pines Park, Sydney",https://www.nrl.com/draw/nrl-premiership/2025/round-4/sea-eagles-v-eels/
2025,4,SUNDAY 30TH MARCH,FULL TIME,,Wests Tigers,Warriors,24,26,"Campbelltown Sports Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2025/round-4/wests-tigers-v-warriors/
2025,5,THURSDAY 3RD APRIL,FULL TIME,,Raiders,Sharks,24,20,"GIO Stadium, Canberra",https://www.nrl.com/draw/nrl-premiership/2025/round-5/raiders-v-sharks/
2025,5,FRIDAY 4TH APRIL,FULL TIME,,Panthers,Cowboys,18,22,"CommBank Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2025/round-5/panthers-v-cowboys/
2025,5,FRIDAY 4TH APRIL,FULL TIME,,Rabbitohs,Roosters,20,14,"Accor Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2025/round-5/rabbitohs-v-roosters/
2025,5,SATURDAY 5TH APRIL,FULL TIME,,Eels,Dragons,23,22,"CommBank Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2025/round-5/eels-v-dragons/
2025,5,SATURDAY 5TH APRIL,FULL TIME,,Titans,Dolphins,10,36,"Cbus Super Stadium, Gold Coast",https://www.nrl.com/draw/nrl-premiership/2025/round-5/titans-v-dolphins/
2025,5,SATURDAY 5TH APRIL,FULL TIME,,Broncos,Wests Tigers,46,24,"Suncorp Stadium, Brisbane",https://www.nrl.com/draw/nrl-premiership/2025/round-5/broncos-v-wests-tigers/
2025,5,SUNDAY 6TH APRIL,FULL TIME,,Sea Eagles,Storm,24,48,"4 Pines Park, Sydney",https://www.nrl.com/draw/nrl-premiership/2025/round-5/sea-eagles-v-storm/
2025,5,SUNDAY 6TH APRIL,FULL TIME,,Bulldogs,Knights,20,0,"Accor Stadium, Sydney",https://www.nrl.com/draw/nrl-premiership/2025/round-5/bulldogs-v-knights/
